"geneid","length"
"AFF4",4535
"ZGLP1",1610
"CHDH",1207
"MIR6801",6883
"ZFP90",5967
"KDM6B",3474
"DCLRE1A",8145
"SPINK2",2793
"NSUN5P2",8463
"P2RY14",3811
"SC5D",8511
"DSN1",9404
"LINC01523",5589
"LOC105370941",4651
"KCP",4826
"SKP1",8517
"ADAMTS9",7130
"PRPF3",4074
"PARP14",6204
"CCDC9",4190
"LOC440934",6346
"HOXB1",1708
"TM7SF2",3785
"CDV3",3284
"NELFA",3284
"ARHGEF19",8166
"P2RX3",3824
"LINC00583",3261
"UBR5",13965
"SBDSP1",7230
"COASY",7061
"AP1S3",3606
"AP2M1",3479
"SPDYE3",3777
"DGUOK",6983
"FAM160B1",5015
"TMEM88B",4891
"RAP2B",4791
"GSDMC",10384
"FAIM",7598
"ABCC6",22529
"PCOTH",11714
"CRABP2",3651
"C1orf61",10368
"CARD16",5692
"LINC00207",7905
"CYMP-AS1",1871
"SULT1C3",11137
"LTV1",2121
"AICDA",9738
"SGIP1",5727
"PALM2-AKAP2",6855
"ABCC3",5180
"DAZAP2",5435
"TNFRSF14",7302
"ZNF7",7424
"SLC22A5",3778
"CDK3",9454
"KLKP1",1722
"PRKACG",5260
"NAA40",1600
"SCN5A",4519
"PIP4K2B",3907
"BLMH",4009
"LOC101928495",9257
"SGPP1",3097
"MIR215",3710
"S1PR5",6742
"SELENOV",6824
"ABL2",5287
"IKZF3",4042
"U2SURP",2335
"MIR661",5350
"INSC",2387
"CPT2",8600
"NT5C1B",5520
"CHRNA3",1500
"UBQLN3",3566
"ZNF71",2307
"MCM3AP",1355
"HIST2H2BF",5872
"LTN1",2707
"CEBPZOS",10929
"LINC01056",12919
"LINC02551",5381
"LOC101929217",7822
"CXorf56",4114
"LINC01873",3509
"ZBTB18",7130
"MIR1470",6409
"CCNJ",1851
"ZNF629",4318
"ENPP2",6496
"LINC00620",15492
"MIR548AA1",11354
"CNGA1",3526
"MAB21L3",2832
"SLC22A15",5465
"ZNF394",2860
"CACNB2",4979
"NDUFA8",7494
"COPS7B",9231
"RCAN2",2441
"LAGE3",4432
"LOC101928075",8722
"PEPD",5709
"JDP2",15945
"TNP2",7082
"SPACA1",6472
"EIF6",5481
"ZBTB49",9802
"KLK14",9037
"LINC01450",5526
"ABCG1",5551
"SMAD1-AS1",4605
"B4GALT2",4416
"FAM71F2",3370
"IMMP2L",3018
"PAK2",6572
"HCG27",5187
"RARRES2",4618
"SLC5A11",1287
"AHSA2P",5852
"PTP4A2",6778
"DIO3OS",3088
"KIF25-AS1",7271
"FAM76A",7587
"HOMEZ",1888
"C8orf48",6945
"LOC441242",5983
"IQCA1L",5337
"UBR4",9709
"GRAMD2A",1848
"CLDN10",3449
"ZNF185",12386
"CD2BP2",3665
"TMPRSS15",4798
"MTRNR2L8",9430
"CELF6",9616
"CEP152",6547
"TTR",6626
"LINC01734",6055
"COX4I2",8646
"SSTR3",706
"TMEM30B",14413
"EGFR",4904
"DNASE2B",1597
"SELENOW",4583
"KLHL26",2793
"CPSF3",7489
"SPATA24",1079
"MLF2",3172
"ADAMTS17",6498
"IZUMO2",2668
"PRB3",7801
"IQCF3",9281
"TADA2B",6345
"BIVM",11623
"PCDH9-AS2",7030
"RAET1E",3441
"LOC101927974",6349
"DCAF10",5878
"TIPARP",3057
"SORL1",2957
"ERICH3-AS1",1967
"OR2A42",6668
"KRT12",7434
"TRIM11",1660
"NPM1",1964
"RHOBTB3",8127
"CST11",4176
"HLA-DOA",16980
"NODAL",9235
"MGST2",3226
"KRTAP5-1",10100
"BRI3BP",933
"LINC00838",4141
"TESK2",2649
"GDI2",2080
"SNORD115-29",8247
"GGT3P",8111
"FOXJ2",3650
"AMOTL2",14782
"ZNF134",2769
"MIR1244-2",4914
"PEX11A",6176
"RAB42",6322
"DHX29",6146
"CNIH3",1243
"PPIG",7904
"GUSBP5",8373
"SLC25A29",3046
"PARVG",4585
"LINC01477",5083
"LINC01377",3463
"ASB15",3033
"WNT8B",2529
"FOXD4L5",5457
"ADAMTS4",2256
"ZNF28",3209
"GLRX5",6015
"HECTD2",17075
"SAG",2676
"MRPL28",4701
"DNAJB6",5570
"PWRN2",6149
"OGG1",1856
"NFE2L1",8338
"AMN",5808
"ERICH1",12199
"OR5H15",2804
"TRIML1",5320
"ZNF646",11963
"OR51A4",13895
"RNASEK-C17orf49",4591
"SYNPO2",4260
"ADI1",1301
"ANKS3",2049
"QRICH1",7440
"SAMMSON",5062
"KRT17",720
"MFSD4A",6302
"ZNF677",8729
"MIR378J",4126
"AKAP9",3209
"GPX4",18608
"FRMD4A",5901
"FLT3",6962
"KLHDC7A",6580
"SLC12A5",8206
"ZKSCAN3",7928
"CALHM5",3002
"LINC00305",5778
"FITM2",9220
"MAGEA2B",12425
"NSUN5",12896
"LOC101927503",6313
"GLYCAM1",4251
"SAXO2",10362
"ACP6",4034
"CCDC153",7750
"EIF3L",10008
"CSNK1G2-AS1",7262
"LEPROTL1",4815
"PCAT6",7053
"MIR4297",3347
"LINC02347",2374
"SNORA52",5906
"FUS",3827
"MIR124-2",7054
"MIR548AS",15842
"CAV2",3236
"CITED4",4348
"APOL6",3299
"PRAMEF5",2891
"ANGEL2",6487
"ZNF37BP",5203
"LINC02595",4736
"MED4",3367
"EMID1",5011
"NOL7",9161
"AACS",10588
"LINC02400",2950
"SMIM24",4243
"CATSPER1",9292
"IFNA10",1664
"HLA-A",7498
"LOC101927359",4583
"NRBP1",3054
"GOSR1",4575
"FMN2",5675
"SEC24C",4447
"CD248",7411
"RNF216P1",9774
"SMPDL3A",3602
"LCA10",5391
"LINC01494",2196
"SI",6938
"GALNT17",6860
"OXCT2P1",1241
"CNN2",4391
"SNORD115-2",5714
"DPPA4",11333
"B4GALNT1",5556
"PCDH18",4078
"HMX2",3172
"EFCAB2",7131
"MAP10",5081
"LOC100508046",7201
"NAA80",2721
"MYOZ2",7619
"CHPT1",5966
"RAB4B",6883
"KIAA0408",4800
"PACS1",5953
"DNAJC3-DT",5393
"ULK4P3",9204
"MIR4686",4457
"LINC02104",6012
"NCKIPSD",7965
"C11orf24",9162
"ARHGEF39",12847
"ZNF813",2396
"CCDC27",7059
"LCT",8623
"SLC35E4",6067
"ELMO1",2770
"PRKCQ",907
"HDGFL1",2558
"ZNF557",4193
"LINC01872",8922
"CORIN",5576
"POLI",6248
"RMDN2",5768
"CREB3",8927
"YIPF7",3194
"TMCO3",4247
"PTPRD-AS2",13220
"PRELID3B",3460
"KDM4C",3813
"ASB10",3730
"SLC5A8",9463
"KRT16P1",8898
"SSX2",3694
"HES3",7620
"FAM197Y5",4636
"MIR921",2387
"PRO1804",8898
"LINC01628",10459
"SPAST",6032
"EML4",3526
"USP17L30",6141
"CHAF1A",5411
"PDE12",7335
"LOC101930094",3744
"ESPN",5170
"NACA4P",4858
"C6orf132",6414
"MAGI1",4987
"LOC100507071",4130
"CBLN1",8374
"TMEM17",3442
"MYLK-AS1",8440
"MXRA7",5958
"TOM1",5958
"UCKL1",6528
"MASTL",4539
"C16orf95",5726
"SNORD115-28",3731
"MRPL2",7553
"MIR4494",4193
"LINC00900",4990
"IGBP1",7225
"TARS",4591
"MRPL45",4177
"RPS4Y2",12426
"TBC1D3P2",10839
"C6orf120",5300
"OR8B4",2381
"LINC01247",2737
"ZIC2",4446
"SNORD116-9",11772
"LINC01976",5252
"TMEM108",5472
"OR1L1",14175
"NUP58",3294
"LOC101927932",10113
"PECAM1",2882
"OR52K2",7758
"AFDN",4730
"LRRC4",3340
"CORO2B",3447
"LINC01342",3837
"FGD2",8533
"LOC100506444",8087
"PTRH2",4014
"MIR6895",4979
"MEI1",8070
"NWD1",7492
"HMCES",8676
"ZNF148",8413
"TRIM15",8745
"C21orf91-OT1",1774
"LYN",2580
"PTH",6298
"HOMER2",3185
"MIR4641",3350
"LINC00628",1432
"PARVB",21722
"LINC01268",2079
"PARP3",3972
"ZNF790",13954
"LINC00968",5424
"PALLD",2282
"CRYGS",3184
"YIPF1",8897
"MIR23C",5993
"MIR587",4917
"MIR6771",7061
"ANKRD36BP2",1674
"CISTR",6997
"HBA2",3865
"ZNF117",12170
"CYP4F11",4523
"MIR431",7689
"PAIP2B",4933
"CERKL",3094
"KIR2DL1",2637
"LOC105371485",2597
"UGT1A8",5213
"IGHMBP2",15535
"THOC1",7466
"KCNQ1",13528
"TMX3",10444
"WDR78",2729
"LOC101928322",5997
"IKBKB",4063
"DHX36",6935
"CENPE",6313
"KLHL10",8608
"LOC102724908",5911
"ST8SIA6-AS1",5590
"TCTEX1D2",3748
"IGLL5",13946
"ZNF565",7374
"LINC01583",12268
"ZNF254",7615
"LINC01145",4854
"KCNK13",2536
"IL36B",7518
"C5orf34",9920
"SERPIND1",1299
"WSB1",2656
"KRT35",2844
"PDE6B",2211
"KAT6B",6232
"MIR8077",2545
"MUC3A",6565
"CYP2F1",5420
"URAHP",8840
"CADPS2",3923
"MIR4633",5904
"LOC283731",1507
"PITPNC1",5072
"COL5A1-AS1",2702
"AGRN",8383
"ZNF490",2272
"CDCA5",4533
"H19",3320
"SNORA11",3159
"SF3A3",2062
"ZNF529-AS1",8587
"MYOZ1",7480
"FRMD1",5158
"CGB2",8738
"HIST1H2AD",3750
"LOC102724776",7643
"DENND4B",10057
"TIMM17B",5437
"YPEL5",8769
"C19orf47",4833
"SEMA4F",5547
"NTAN1",3407
"RTL10",8809
"SNORD114-29",5101
"QPCTL",2571
"CHSY1",4927
"TEX13A",2512
"CLTA",3509
"RCAN3",3826
"SEC14L5",8757
"JADE2",9072
"MFSD2A",9572
"LINC01140",9780
"TMEM256",5039
"CRTAM",6983
"MLPH",9297
"CLDN25",7136
"BCL11B",10799
"MIR944",1546
"CDKL3",2736
"MRPL43",6531
"C16orf78",3967
"GNG11",8576
"LCOR",2212
"OTUD6B",4246
"CACNA1F",12240
"PPP5C",3680
"LINC00336",6808
"MIR539",9384
"FBXW8",1733
"LOC284241",3836
"RBPMS-AS1",7445
"XG",7568
"MIR4256",5775
"PROCA1",7055
"DHCR7",6111
"KCNJ11",4496
"DUT",9124
"HECW1",4448
"FCGR1A",4205
"C17orf78",14652
"PFN1",6700
"LINC01881",11432
"CAMK1",6771
"DTWD1",11056
"SRSF11",10776
"VNN1",9616
"SLC10A1",6869
"IGSF11",3783
"SLC26A10",5805
"RECQL5",496
"KRT84",3427
"WNT5A",6031
"RBM23",2222
"DRD4",3034
"SPATA42",2095
"MIR4749",11165
"SLC34A3",3086
"LOC105379194",9992
"SNORD21",3806
"TOMM22",13612
"TMBIM4",6165
"LINC01792",3666
"DNMT3B",1655
"SAPCD1-AS1",5633
"LRRIQ3",6713
"LDHA",5168
"MIR3158-2",11505
"ELAC2",7062
"DCP1B",1585
"TSPEAR-AS1",9352
"BPTF",9008
"MYOM3",3910
"RAB29",4538
"IFNGR2",5011
"COL19A1",2772
"PRSS1",1164
"NNT",8852
"DSTYK",5506
"PANK1",8984
"MCU",4792
"MIR4479",3456
"THOC6",2621
"SNORD111B",1889
"ZNF649",2675
"ARF4",3540
"PKHD1",15860
"MIR5011",5153
"TENT5A",7522
"MACROD1",6173
"MIR511",17500
"FSTL3",14831
"TRIM2",12387
"HIST3H3",7812
"XPA",6177
"DNAJB13",6578
"GREB1",16475
"ZNF75D",11461
"CTPS2",6729
"TRAF6",4739
"SNORD1A",7687
"SSTR2",3471
"LINC01716",4635
"DEGS2",2646
"CERS3",12493
"SERPINA1",4777
"DEPDC7",8998
"SPIN1",2686
"MIR367",3398
"HMMR",3339
"GIMAP1-GIMAP5",2783
"POLDIP3",3660
"EFHB",13187
"SRC",7432
